(sire x dam),,genome.p1,,,,,p1=high
P1:daughters,1,100,,,,,
P1:sons,2,100,,,,,
P1:mixed,3,100,,,,,
P2:daughters,4,0,,,,,
P2:sons,5,0,,,,,
P2:mixed,6,0,,,,,
F1 (P2xP1):daughters,7,50,,,,,
F1 (P2xP1):sons,8,50,,,,,
F1 (P2xP1):mixed,9,50,,,,,
rF1 (P1xP2):daughters,10,50,,,,,
rF1 (P1xP2):sons,11,50,,,,,
rF1 (P1xP2):mixed,12,50,,,,,
F2a (F1xF1):daughters,13,50,,,,,
F2a (F1xF1):sons,14,50,,,,,
F2a (F1xF1):mixed,15,50,,,,,
F2b (rF1xF1):daughters,16,50,,,,,
F2b (rF1xF1):sons,17,50,,,,,
F2b (rF1xF1):mixed,18,50,,,,,
rF2b (F1xrF1):daughters,19,50,,,,,
rF2b (F1xrF1):sons,20,50,,,,,
rF2b (F1xrF1):mixed,21,50,,,,,
F2c (rF1xrF1):daughters,22,50,,,,,
F2c (rF1xrF1):sons,23,50,,,,,
F2c (rF1xrF1):mixed,24,50,,,,,
BC1a (F1xP1):daughters,25,75,,,,,
BC1a (F1xP1):sons,26,75,,,,,
BC1a (F1xP1):mixed,27,75,,,,,
BC1b (rF1xP1):daughters,28,75,,,,,
BC1b (rF1xP1):sons,29,75,,,,,
BC1b (rF1xP1):mixed,30,75,,,,,
rBC1a(P1xF1):daughters,31,75,,,,,
rBC1a(P1xF1):sons,32,75,,,,,
rBC1a(P1xF1):mixed,33,75,,,,,
rBC1b(P1xrF1):daughters,34,75,,,,,
rBC1b(P1xrF1):sons,35,75,,,,,
rBC1b(P1xrF1):mixed,36,75,,,,,
BC2a (P2xF1):daughters,37,25,,,,,
BC2a (P2xF1):sons,38,25,,,,,
BC2a (P2xF1):mixed,39,25,,,,,
BC2b (P2xrF1):daughters,40,25,,,,,
BC2b (P2xrF1):sons,41,25,,,,,
BC2b (P2xrF1):mixed,42,25,,,,,
rBC2a(F1xP2):daughters,43,25,,,,,
rBC2a(F1xP2):sons,44,25,,,,,
rBC2a(F1xP2):mixed,45,25,,,,,
rBC2b(rF1xP2):daughters,46,25,,,,,
rBC2b(rF1xP2):sons,47,25,,,,,
rBC2b(rF1xP2):mixed,48,25,,,,,
2BC1b(BC1bxP1):daughters,49,87.5,,,,,
2BC1b(BC1bxP1):sons,50,87.5,,,,,
2BC1b(BC1bxP1):mixed,51,87.5,,,,,
2BC2a(BC2axP2):daughters,52,12.5,,,,,
2BC2a(BC2axP2):sons,53,12.5,,,,,
2BC2a(BC2axP2):mixed,54,12.5,,,,,
F1p(pooled)rF1&F1:daughters,55,50,,,,,
F1p(pooled)rF1&F1:sons,56,50,,,,,
F1p(pooled)rF1&F1:mixed,57,50,,,,,
rBC1ap(P1xF1p):daughters,58,75,,,,,
rBC1ap(P1xF1p):sons,59,75,,,,,
rBC1ap(P1xF1p):mixed,60,75,,,,,
BC1ap (F1pxP1):daughters,61,75,,,,,
BC1ap (F1pxP1):sons,62,75,,,,,
BC1ap (F1pxP1):mixed,63,75,,,,,
rBC2ap(P2xF1p):daughters,64,25,,,,,
rBC2ap(P2xF1p):sons,65,25,,,,,
rBC2ap(P2xF1p):mixed,66,25,,,,,
BC2ap (F1pxP2):daughters,67,25,,,,,
BC2ap (F1pxP2):sons,68,25,,,,,
BC2ap (F1pxP2):mixed,69,25,,,,,
2rBC2a(rBC2axP2):daughters,70,12.5,,,,,
2rBC2a(rBC2axP2):sons,71,12.5,,,,,
2rBC2a(rBC2axP2):mixed,72,12.5,,,,,
